NR_CANDIDATO;NR_PARTIDO;SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;CD_GENERO;CD_GRAU_INSTRUCAO;CD_ESTADO_CIVIL;VR_DESPESA_MAX_CAMPANHA;ST_REELEICAO;RESULTADO
13000;13;0;44;2;7;9;500000;0;3
12456;12;0;61;2;6;3;100000;0;3
40777;40;0;49;2;8;3;500000;0;3
31888;31;0;46;2;6;3;500000;0;3
43345;43;1;58;2;8;1;250000;0;3
26777;26;0;28;4;8;1;10000;0;3
40122;40;0;55;2;8;3;500000;1;3
12680;12;0;41;2;6;3;30000;0;3
43043;43;0;60;2;6;3;150000;0;3
26789;26;0;36;2;6;3;10000;0;3
36777;36;0;49;2;6;3;30000;0;3
22456;22;0;53;2;8;3;500000;0;3
50223;50;0;44;2;6;3;10000;0;4
13113;13;0;38;2;8;3;500000;0;3
15510;15;1;55;2;8;1;700000;0;3
25123;25;0;57;2;4;3;700000;0;3
13666;13;1;50;2;8;3;500000;1;1
22789;22;0;24;2;7;1;500000;0;3
31000;31;0;49;2;6;3;500000;0;3
15141;15;0;67;2;8;3;700000;1;1
26780;26;0;38;2;6;3;10000;0;3
12010;12;0;60;2;7;3;50000;0;3
13222;13;1;54;2;7;3;500000;0;3
12345;12;0;37;2;8;1;50000;0;3
12333;12;1;48;2;8;3;100000;0;3
26223;26;0;48;2;6;3;10000;0;3
31313;31;1;48;2;6;3;500000;0;3
27456;27;1;49;2;8;3;500000;0;4
36999;36;0;35;2;6;1;200000;0;3
25111;25;0;57;2;8;3;700000;0;1
43333;43;0;39;2;8;3;250000;0;1
15200;15;0;44;2;8;3;700000;0;3
15500;15;0;23;2;8;1;700000;0;3
33456;33;0;39;2;7;3;500000;1;1
28280;28;1;34;2;8;9;500000;0;4
25555;25;0;45;2;6;9;700000;0;3
26222;26;1;61;2;8;3;50000;0;3
15222;15;0;50;2;6;3;700000;1;1
40333;40;1;78;2;8;3;500000;0;1
70123;70;1;42;4;8;9;500000;0;3
26555;26;1;37;2;8;3;300000;0;3
11111;11;0;44;2;8;3;700000;0;3
26666;26;0;29;2;6;3;10000;0;3
12666;12;0;52;2;8;3;30000;0;3
28888;28;0;48;2;7;1;500000;0;4
44999;44;0;48;2;8;1;700000;0;4
43222;43;1;58;2;8;3;150000;0;3
40000;40;0;32;4;8;3;500000;1;1
36111;36;0;33;2;6;1;30000;0;3
50523;50;1;35;2;8;1;30000;0;4
17777;17;0;27;4;6;3;10000000;0;4
15678;15;0;26;2;8;1;700000;0;1
25112;25;0;49;4;8;3;700000;1;3
