NR_CANDIDATO;NR_PARTIDO;SG_UF_NASCIMENTO;NR_IDADE_DATA_POSSE;CD_GENERO;CD_GRAU_INSTRUCAO;CD_ESTADO_CIVIL;VR_DESPESA_MAX_CAMPANHA;ST_REELEICAO;Resultado
2727;27;0;47;2;7;9;100000;0;4
4307;43;0;52;2;8;3;100000;0;4
1501;15;0;45;2;8;1;1000000;0;3
5027;50;1;72;2;8;3;30000;0;4
1717;17;0;44;2;7;1;10000000;0;4
2121;21;0;29;2;7;1;10000;0;4
4344;43;0;44;2;6;3;100000;0;4
6555;65;0;31;2;6;3;900000;0;3
4012;40;1;46;2;6;3;900000;0;3
4033;40;1;53;2;6;3;900000;1;3
3633;36;0;44;2;8;3;30000;0;4
4333;43;0;42;2;8;3;150000;0;4
1313;13;1;51;4;8;1;900000;1;1
1555;15;1;56;2;8;3;1000000;0;3
4078;40;0;68;2;8;3;900000;0;3
4343;43;0;44;2;4;9;150000;0;4
1616;16;0;40;4;8;1;5000;0;4
5051;50;0;56;2;8;9;30000;0;4
3669;36;1;43;4;6;1;10000;0;4
4455;44;0;57;2;7;3;1000000;0;4
2580;25;1;37;2;8;3;1000000;0;3
1212;12;0;70;2;8;3;100000;0;4
1222;12;0;51;2;5;3;30000;0;4
5050;50;1;45;4;8;9;30000;0;4
4444;44;0;58;2;8;3;1000;0;4
1112;11;0;59;2;5;9;1000000;0;3
2811;28;0;43;2;7;3;900000;0;4
1111;11;0;62;2;6;3;1000000;1;2
3644;36;1;58;2;6;3;100000;0;4
6565;65;1;31;2;8;3;900000;0;3
2123;21;0;57;2;2;5;10000;0;4
3619;36;0;34;2;7;9;100000;0;4
2300;23;0;34;2;3;1;20000;0;4
3636;36;1;42;2;4;3;100000;0;4
3611;36;0;64;2;3;3;10000;0;4
1234;12;0;70;2;8;3;50000;0;4
1544;15;0;42;2;8;3;1000000;0;3
3131;31;0;48;2;4;3;900000;0;3
1314;13;0;60;2;8;3;900000;0;3
6513;65;0;39;2;8;3;900000;0;3
4545;45;0;25;2;8;1;50000;0;4
4040;40;0;55;4;8;3;900000;1;2
2511;25;0;58;2;8;3;1000000;1;3
4000;40;0;43;4;8;1;900000;0;3
3333;33;0;29;2;8;1;900000;0;1
3600;36;1;37;2;6;3;100000;0;4
1500;15;0;55;2;8;3;1000000;0;3
2124;21;0;61;4;2;1;10000;0;4
2512;25;1;33;2;8;1;1000000;0;1
4523;45;0;45;2;8;9;800000;0;4
2345;23;0;41;2;3;3;20000;0;4
4340;43;0;37;2;7;9;100000;0;4
5099;50;0;48;2;6;9;30000;0;4
1666;16;0;24;2;6;1;3000;0;4
4312;43;0;23;2;5;1;150000;0;4
3612;36;1;48;2;4;3;10000;0;4
2333;23;0;60;2;8;3;12000;0;4
1511;15;1;58;2;8;3;1000000;1;1
4011;40;0;43;2;8;3;900000;0;1
4310;43;0;54;2;4;3;200000;0;4
1444;14;1;29;4;6;3;900000;0;3
1510;15;0;44;2;8;9;1000000;0;3
2222;22;1;53;2;8;3;1900000;0;1
4305;43;1;39;2;8;3;250000;0;4
5012;50;0;44;2;8;3;50000;0;4
1323;13;0;48;2;8;3;900000;0;3
1122;11;0;44;2;7;1;1000000;0;3
4511;45;0;47;2;8;3;67186.5;0;4
4444;44;0;58;2;4;3;10000;0;4
1010;10;1;41;2;6;3;2000000;0;4
4310;43;0;58;2;4;5;3800000;0;3
3611;36;0;68;2;3;5;300000;0;4
1516;15;0;55;4;8;1;3800000;0;3
2323;23;0;52;2;8;3;1080000;0;3
4077;40;0;64;4;8;9;1080000;0;3
1313;13;1;55;4;8;1;1080000;0;1
6555;65;0;42;2;6;1;800000;0;4
1499;14;0;36;4;6;3;1080000;0;3
1331;13;0;40;2;8;9;1080000;0;3
4347;43;0;38;4;7;3;3800000;0;3
1333;13;1;49;2;8;3;1080000;0;3
4011;40;0;33;2;6;3;1080000;0;3
2727;27;0;36;2;5;1;1450000;0;4
4566;45;0;37;2;8;1;3000000;0;3
2511;25;0;62;2;8;3;3000000;0;2
3133;31;0;37;2;6;3;500000;0;4
4545;45;0;44;2;4;3;3000000;0;3
1123;11;0;60;2;6;1;300000;0;4
2010;20;0;75;2;5;3;3000000;0;3
4344;43;0;70;2;7;3;3800000;0;3
4066;40;0;66;4;6;5;1080000;0;3
5050;50;0;36;2;6;1;50000;0;4
3131;31;0;25;2;6;1;500000;0;4
5000;50;0;48;2;7;1;50000;0;4
4555;45;0;47;2;8;3;3000000;0;3
4321;43;0;36;2;6;1;3800000;0;3
6510;65;0;44;2;8;3;800000;0;4
2702;27;0;43;2;5;1;1450000;0;4
1324;13;0;30;4;8;1;1080000;0;3
2737;27;0;26;4;6;1;1450000;0;4
2111;21;0;45;2;4;3;50000;0;4
2222;22;1;57;2;8;3;3000000;0;1
3140;31;1;39;4;7;3;500000;0;4
1414;14;1;36;2;8;3;1080000;0;3
2512;25;1;37;2;8;1;3000000;0;1
4544;45;1;42;2;6;3;3000000;0;3
6565;65;0;46;2;7;3;800000;0;4
1510;15;1;59;2;8;3;3800000;0;3
